property_name,district,bedroom_count,price,property_age,saleable_area,pet_policy,latitude,longitude,travel_time_to_cbd,walking_time_to_mtr,total_poi_within_1000m,category_Community_Facilities_within_1000m,category_Education_within_2000m,category_Recreation_within_1000m,category_Medical_within_2000m,category_Public_Market_within_1000m,category_Religion_within_2000m,category_Transportation_within_1000m,category_Tourism_within_2000m
LAKE SILVER Tower 5,Wu Kai Sha,2,7600000,16,573,TRUE,22.4289214,114.24439,56,1,114,2,51,5,4,1,16,11,0
TSUEN KING GARDEN PHASE 2 BLOCK 8,Tsuen King Circuit,3,5800000,37,577,FALSE,22.3781127,114.1100626,51,15,393,4,128,39,13,3,95,19,0
BELVEDERE GARDEN PHASE 1 BLOCK 3,Belvedere,3,5400000,38,644,FALSE,22.3726332,114.1019139,45,20,237,2,122,25,13,3,64,15,0
MARBELLA BLOCK 1 (TOWER A),Ma On Shan,3,7300000,24,737,TRUE,22.4276756,114.2402751,68,8,190,2,75,15,4,2,27,23,0
LOHAS PARK PHASE 10 LP10 Tower 1 (1A),Lohas Park,3,15000000,3,921,FALSE,22.292477,114.267387,51,15,69,2,44,7,0,0,1,7,0
Tseung Kwan O Plaza Phase 1 Tower 3,Tseung Kwan O,2,5720000,22,429,FALSE,22.3091002,114.2617775,44,6,404,6,200,43,10,6,36,28,0
Indi Home,Tsuen Wan West,2,5900000,20,435,TRUE,22.3663202,114.1181562,42,17,843,16,250,93,27,5,129,63,0
LOHAS PARK Phase 5A Malibu TOWER 3B,Lohas Park,1,4580000,6,368,FALSE,22.2948541,114.2729928,50,8,62,2,46,7,0,0,1,7,0
THE PAVILIA FARM PHASE 2 Tower 6 (6A),Tai Wai,2,9500000,3,488,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
THE GRANDVILLE Tower B,Fo Tan,2,7800000,19,602,TRUE,22.4012661,114.1942141,55,20,170,1,60,16,5,4,31,24,0
OCEAN PRIDE Phase 3A Ocean Supreme TOWER 3A,Tsuen Wan West,3,17000000,6,820,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
Discovery Park PHASE 3 Block 12,Discovery Park,3,7100000,27,652,FALSE,22.3753271,114.1124452,45,9,667,6,166,70,14,5,104,56,0
MANTIN HEIGHTS TOWER 10,Ho Man Tin,2,9800000,8,583,TRUE,22.3173116,114.1821273,35,17,713,12,419,99,48,5,225,24,6
The Pavilia Bay Tower 2B,Tsuen Wan West,1,6300000,7,392,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
VILLA ESPLANADA PHASE 2 Block 7,Tsing Yi,3,13800000,26,850,FALSE,22.361958,114.106534,35,12,476,6,196,71,23,3,74,41,0
VILLA ESPLANADA PHASE 1 Block 2,Tsing Yi,3,8350000,27,674,FALSE,22.3618472,114.1064042,35,12,471,6,192,73,23,3,73,41,0
GARTIN COURT,Ho Man Tin,3,9990000,61,870,FALSE,22.3165654,114.1747054,25,10,1274,12,440,111,49,6,249,56,8
BELVEDERE GARDEN PHASE 2 BLOCK 1,Belvedere,3,6880000,35,668,FALSE,22.3715791,114.1005017,48,21,187,3,123,18,15,2,50,11,0
NEW KWAI FONG GARDENS Block E,Ha Kwai Chung,2,5300000,42,418,FALSE,22.3574317,114.1288033,34,6,582,5,194,68,30,7,89,49,0
PING YAN COURT Block A (Ping Oi House),Tin Shui Wai,2,3200000,6,376,FALSE,22.4455411,114.0034577,65,7,284,5,147,38,4,3,33,22,3
GRAND YOHO Phase 1 Tower 1,Yuen Long Station,2,7200000,8,498,FALSE,22.4440279,114.0355872,61,9,441,3,109,40,14,4,46,34,1
TIN FU COURT Nang Fu House (Block M),Tin Shui Wai,2,2980000,24,506,FALSE,22.4653,114.000112,71,34,407,8,154,47,6,5,27,23,3
YUE MAN CENTRE Block 3,Kwun Tong,3,5900000,38,588,FALSE,22.3143039,114.2229807,47,10,717,12,199,90,28,7,90,63,0
LAGUNA CITY PHASE 4 Block 11,Lam Tin,2,5780000,30,517,FALSE,22.3080199,114.2375638,55,18,446,13,216,67,19,3,70,35,0
PARK ISLAND Phase 3 Block 19,Ma Wan,2,5500000,20,552,FALSE,22.3532151,114.0614369,50,91,103,0,10,11,0,0,7,3,2
LE PONT TOWER 2B,So Kwun Wat,3,6800000,5,737,TRUE,22.372788,114.0035652,66,78,66,0,13,2,0,0,6,7,1
Kam Wah Garden Block B,Tuen Mun Town Centre,1,3480000,38,348,FALSE,22.3938184,113.9757099,61,6,562,10,176,62,20,7,98,37,0
Monte Vista Block 12,Wu Kai Sha,3,7800000,25,765,FALSE,22.4274559,114.2442982,62,6,126,2,58,6,4,2,18,11,0
THE PAVILIA FARM PHASE 1 TOWER 2 (2A),Tai Wai,3,16500000,3,754,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
THE PAVILIA FARM Phase 1 TOWER 3 (3A),Tai Wai,1,7380000,3,358,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
MANTIN HEIGHTS TOWER 2,Ho Man Tin,3,16650000,8,917,TRUE,22.31975,114.18182,32,12,722,12,436,90,56,5,226,22,5
YOHO TOWN PHASE 2 YOHO MIDTOWN Block M1,Yuen Long Station,2,7500000,15,482,FALSE,22.4460876,114.0347702,53,0,443,3,109,42,14,4,44,37,1
LUK YEUNG SUN CHUEN BLOCK J,Luk Yeung,2,5600000,42,445,FALSE,22.3728399,114.1211668,42,8,772,14,203,89,26,8,129,42,0
CARIBBEAN COAST PHASE 4 CRYSTAL COVE TOWER 15,Tung Chung Town Centre,3,9300000,19,928,FALSE,22.291393,113.948117,68,25,193,2,53,13,8,4,7,14,1
The Pavilia Bay Tower 2B,Tsuen Wan West,3,13000000,7,766,TRUE,22.3656413,114.1125171,49,10,615,5,240,68,24,4,112,47,0
The Pavilia Farm Phase 2 Tower 5 (5A),Tai Wai,3,14500000,3,679,FALSE,22.372727,114.1795494,33,3,491,13,127,53,10,11,80,30,1
Luk Yeung Sun Chuen Block B,Luk Yeung,3,6500000,41,582,FALSE,22.37374,114.1195424,39,5,795,15,199,83,23,7,124,45,0
PARC OASIS TOWER 7 (1 PARC OASIS RD),Yau Yat Tsuen,2,8600000,32,522,FALSE,22.3329095,114.1747073,35,10,712,8,437,99,46,6,242,31,7
OCEAN PRIDE PHASE 3A OCEAN SUPREME Tower 3C,Tsuen Wan West,2,9300000,6,524,FALSE,22.3683109,114.110007,35,1,617,8,210,61,21,6,107,52,0
